"X.reg_id","X.operator","X.airplane_damage","X.location","X.phase","X.nature","X.departure_airport","X.destination_airport","X.time_period","X.year","X.month","X.day","X.old","X.nb_engines","X.crew.fatalities","X.crew.occupants","X.passengers.fatalities","X.passengers.occupants","X.crew.ratio","X.passengers.ratio","X.brand"
"TC-OAG","Saudi Arabian Airlines","Substantial","Saudi Arabia","Landing","Ferry/positioning","Saudi Arabia","Saudi Arabia","afternoon",2012,"May","Tuesday",18,2,0,10,0,0,0,0,"Airbus"
"5Y-NGO","United Nations World Food Programme","Substantial","South Sudan","Landing","Domestic Non Scheduled Passenger","South Sudan","South Sudan","morning",2012,"May","Wednesday",20,1,0,2,0,9,0,0,"Cessna"
"97004","Sukhoi Civil Aircraft","Destroyed","Indonesia","En route","Demonstration","Indonesia","Indonesia","afternoon",2012,"May","Wednesday",3,2,4,4,41,41,1,1,"Sukhoi"
"N171FL","Contract Air Cargo","Substantial","Guatemala","Landing","Cargo","United States of America","Guatemala","evening",2012,"May","Friday",56,2,0,2,0,0,0,0,"Convair"
"9N-AIG","Agni Air","Destroyed","Nepal","Approach","Domestic Scheduled Passenger","Nepal","Nepal","morning",2012,"May","Monday",15,2,2,3,13,18,0.666666666666667,0.722222222222222,"Dornier"
"PK-CJV","Sriwijaya Air","Substantial","Indonesia","Landing","Domestic Scheduled Passenger","Indonesia","Indonesia","afternoon",2012,"June","Friday",22,2,0,8,0,155,0,0,"Boeing"
"5N-BJN","Allied Air","Damaged beyond repair","Ghana","Landing","Cargo","Nigeria","Ghana","evening",2012,"June","Saturday",30,3,0,4,0,0,0,0,"Boeing"
"5N-RAM","Dana Air","Destroyed","Nigeria","Approach","Domestic Scheduled Passenger","Nigeria","Nigeria","afternoon",2012,"June","Sunday",22,2,6,6,147,147,1,1,"Douglas"
"CX-LAS","Air Class LÃ­neas AÃ©reas","Destroyed","Uruguay","En route","Cargo","Uruguay","Argentina","evening",2012,"June","Wednesday",30,2,2,2,0,0,1,0,"Swearingen"
"N500SW","Performance Aircraft Leasing Inc.","Substantial","United States of America","Landing","Private","United States of America","United States of America","afternoon",2012,"June","Thursday",19,2,0,2,0,6,0,0,"Learjet"
"UR-SKD","Ukrainska Shkola Pilotov","Damaged beyond repair","Ukraine","Approach","Parachuting","Ukraine","Ukraine","morning",2012,"June","Sunday",31,2,1,2,4,18,0.5,0.222222222222222,"Let"
"C-FTTW","Wasaya Airways","Destroyed","Canada","Standing","Cargo","Canada","Canada","afternoon",2012,"June","Tuesday",42,2,0,2,0,0,0,0,"Hawker"
"N826JH","N79TE LLC","Damaged beyond repair","United States of America","Landing","Executive","United States of America","United States of America","morning",2012,"June","Monday",19,2,0,2,0,2,0,0,"Beechcraft"
"EJC-1131","EjÃ©rcito Nacional de Colombia","Damaged beyond repair","Colombia","En route","Military","Colombia","Colombia","morning",2012,"June","Saturday",5,1,2,2,2,2,1,1,"Cessna"
"B-3171","Tianjin Airlines","None","China","En route","Domestic Scheduled Passenger","China","China","afternoon",2012,"June","Friday",2,2,0,9,2,92,0,0.0217391304347826,"Embraer"
"N213WQ","United Express","Substantial","United States of America","Landing","Domestic Scheduled Passenger","United States of America","United States of America","morning",2012,"July","Wednesday",4,2,0,4,0,31,0,0,"de Havilland Canada"
"8Q-TMT","Trans Maldivian Airways","Substantial","Maldives","Taxi","Domestic Scheduled Passenger","Maldives","Maldives","afternoon",2012,"July","Monday",37,2,0,3,0,14,0,0,"de Havilland Canada"
"N823GA","Universal Jet Aviation","Destroyed","France","Landing","Ferry/positioning","France","France","afternoon",2012,"July","Friday",25,2,3,3,0,0,1,0,"Gulfstream"
"CC-CRQ","Sky Airline","Substantial","Chile","Landing","Domestic Scheduled Passenger","Chile","Chile","afternoon",2012,"July","Wednesday",31,2,0,6,0,115,0,0,"Boeing"
"OO-LET","ASL - Air Service Liege","Substantial","United Kingdom","Landing","Survey/research","United Kingdom","United Kingdom","afternoon",2012,"July","Saturday",19,2,0,4,0,0,0,0,"Beechcraft"
"CN-MBR","Dalia Air","Substantial","Switzerland","Landing","Executive","Switzerland","Switzerland","afternoon",2012,"August","Monday",1,2,0,2,0,1,0,0,"Embraer"
"N341NG","United Express","Substantial","United States of America","Taxi","Domestic Scheduled Passenger","United States of America","United States of America","afternoon",2012,"August","Friday",2,2,0,4,0,68,0,0,"Bombardier"
"B-16825","Mandarin Airlines","Substantial","Taiwan","Landing","Domestic Scheduled Passenger","Taiwan","Taiwan","evening",2012,"August","Friday",4,2,0,6,0,104,0,0,"Embraer"
"B-68801","Dapeng Airlines","Destroyed","Taiwan","En route","Survey/research","Taiwan","Taiwan","morning",2012,"August","Thursday",21,2,3,3,0,0,1,0,"Britten Norman"
"N1120N","Martinaire","Destroyed","United States of America","En route","Cargo","United States of America","United States of America","evening",2013,"January","Tuesday",19,1,1,1,0,0,1,0,"Cessna"
"C-GKBC","Kenn Borek Air","Destroyed","Antarctica","En route","Ferry/positioning","Antarctica","Antarctica","evening",2013,"January","Wednesday",34,2,3,3,0,0,1,0,"de Havilland Canada"
"UP-CJ006","SCAT","Destroyed","Kazakhstan","Approach","Domestic Scheduled Passenger","Kazakhstan","Kazakhstan","afternoon",2013,"January","Tuesday",13,2,5,5,16,16,1,1,"Canadair"
"YR-ATS","Alitalia","Substantial","Italy","Landing","Domestic Scheduled Passenger","Italy","Italy","evening",2013,"February","Saturday",16,2,0,4,0,46,0,0,"ATR"
"TS-IMB","Tunis Air","Substantial","Tunisia","Landing","International Scheduled Passenger","Morocco","Tunisia","afternoon",2013,"February","Wednesday",23,2,0,8,0,75,0,0,"Airbus"
"UR-WRA","South Airlines","Destroyed","Ukraine","Landing","Domestic Non Scheduled Passenger","Ukraine","Ukraine","evening",2013,"February","Wednesday",40,2,0,8,5,44,0,0.113636363636364,"Antonov"
"N777VG","The Vein Guys","Destroyed","United States of America","Initial climb","Executive","United States of America","United States of America","evening",2013,"February","Wednesday",6,2,0,2,5,5,0,1,"Beechcraft"
"CS-TGU","SATA Internacional","Substantial","Portugal","Landing","Domestic Scheduled Passenger","Portugal","Portugal","evening",2013,"March","Saturday",22,2,0,8,0,117,0,0,"Airbus"
"9Q-CBD","Compagnie Africaine d'Aviation - CAA","Damaged beyond repair","Congo","Approach","Cargo","Congo","Congo","afternoon",2013,"March","Monday",21,2,7,7,0,3,1,0,"Fokker"
"N26DK","Digicut Systems","Destroyed","United States of America","Initial climb","Executive","United States of America","United States of America","afternoon",2013,"March","Sunday",5,2,2,2,0,2,1,0,"Beechcraft"
"SX-BHS","Air MÃ©diterranÃ©e","Minor","France","Landing","Int'l Non Scheduled Passenger","Morocco","France","evening",2013,"March","Friday",16,2,0,7,0,174,0,0,"Airbus"
"ZS-PHL","Sahel Air Service","Missing","Sao Tome and Principe","Approach","Ferry/positioning","Namibia","Sao Tome and Principe","afternoon",2013,"April","Sunday",24,2,1,1,0,0,1,0,"Beechcraft"
"PK-LKS","Lion Air","Substantial","Indonesia","Approach","Domestic Scheduled Passenger","Indonesia","Indonesia","afternoon",2013,"April","Saturday",0,2,0,7,0,101,0,0,"Boeing"
"XA-TOJ","AeromÃ©xico","Substantial","Spain","Takeoff","International Scheduled Passenger","Spain","Mexico","afternoon",2013,"April","Tuesday",23,2,0,9,0,154,0,0,"Boeing"
"HL7730","Asiana Airlines","Substantial","South Korea","Landing","International Scheduled Passenger","China","South Korea","afternoon",2013,"April","Tuesday",9,2,0,11,0,128,0,0,"Airbus"
"N949CA","National Airlines (National Air Cargo)","Destroyed","Afghanistan","Takeoff","Cargo","Afghanistan","United Arab Emirates","afternoon",2013,"April","Monday",20,4,7,7,0,0,1,0,"Boeing"
"63-8877","United States Air Force - USAF","Destroyed","Kyrgyzstan","En route","Military","Kyrgyzstan","Kyrgyzstan","afternoon",2013,"May","Friday",49,4,3,3,0,0,1,0,"Boeing"
"N22MS","Evergreen International Aviation","Substantial","United States of America","Landing","Ferry/positioning","United States of America","United States of America","afternoon",2013,"May","Monday",35,2,0,2,0,1,0,0,"Learjet"
"B-3801","China Flying Dragon Aviation","Destroyed","China","Initial climb","Agricultural","China","China","morning",2013,"May","Thursday",27,2,0,3,0,0,0,0,"Harbin Yunshuji"
"XY-AIQ","Myanma Airways","Substantial","Myanmar","Landing","Domestic Scheduled Passenger","Myanmar","Myanmar","morning",2013,"May","Thursday",3,2,0,4,0,51,0,0,"Xian"
"EX-02015","Valor Air","Destroyed","Kyrgyzstan","Maneuvering","Agricultural","Kyrgyzstan","Kyrgyzstan","morning",2013,"May","Friday",39,1,2,2,1,1,1,1,"Antonov"
"FAB2404","ForÃ§a AÃ©rea Brasileira - FAB","Substantial","Haiti","Takeoff","Military","Haiti","Brazil","afternoon",2013,"May","Sunday",45,4,0,12,0,131,0,0,"Boeing"
"C-GLQO","Porter Airlines","Substantial","Canada","Landing","Domestic Scheduled Passenger","Canada","Canada","evening",2013,"May","Sunday",4,2,0,4,0,59,0,0,"Bombardier"
"9N-AJU","Goma Air","Substantial","Nepal","Landing","Domestic Scheduled Passenger","Nepal","Nepal","morning",2013,"May","Monday",14,1,0,2,0,9,0,0,"Cessna"
"RP-C3266","Cebu Pacific Air","Substantial","Philippines","Landing","Domestic Scheduled Passenger","Philippines","Philippines","evening",2013,"June","Sunday",2,2,0,6,0,165,0,0,"Airbus"
"ZS-GJV","RV Consulting Partnership","Substantial","South Africa","Landing","Ferry/positioning","South Africa","South Africa","night",2013,"June","Monday",29,2,0,1,0,0,0,0,"Beechcraft"
"N510LD","Osage Air LLC","Destroyed","United States of America","Initial climb","Private","United States of America","United States of America","afternoon",2013,"June","Friday",6,2,1,1,0,0,1,0,"Beechcraft"
"C-FZDN","Skydive Toronto","Substantial","Canada","Approach","Parachuting","Canada","Canada","afternoon",2013,"June","Saturday",24,1,0,1,0,0,0,0,"Cessna"
"XY-AIP","Myanma Airways","Substantial","Myanmar","Landing","Domestic Scheduled Passenger","Myanmar","Myanmar","afternoon",2013,"June","Monday",3,2,0,4,0,60,0,0,"Xian"
"TT-BAU","CotonTchad","Damaged beyond repair","Cameroon","Approach","Executive","Chad","Cameroon","morning",2013,"June","Monday",28,1,1,2,0,3,0.5,0,"Cessna"
"C6-SBJ","SkyBahamas Airlines","Damaged beyond repair","Bahamas","Landing","International Scheduled Passenger","United States of America","Bahamas","afternoon",2013,"June","Thursday",21,2,0,3,0,21,0,0,"Saab"
"N995DL","Delta Air Lines","Substantial","United States of America","Taxi","Domestic Scheduled Passenger","United States of America","United States of America","morning",2013,"June","Thursday",21,2,0,7,0,149,0,0,"Douglas"
"M-YSAI","Capital Investment Worldwide Inc.","Substantial","Singapore","Landing","Private","India","Singapore","evening",2013,"June","Sunday",8,2,0,2,0,3,0,0,"Bombardier"
"N112EM","E. Micah Aviation","Substantial","United States of America","Landing","Training","United States of America","United States of America","morning",2013,"June","Tuesday",32,2,0,2,0,1,0,0,"IAI"
"N92JR","Tennair","Substantial","United States of America","Approach","Executive","United States of America","United States of America","evening",2013,"June","Tuesday",32,2,0,1,0,0,0,0,"Beechcraft"
"ZS-NVB","Batair Cargo","Substantial","Botswana","Approach","Cargo","South Africa","Botswana","night",2013,"June","Saturday",25,2,2,2,0,0,1,0,"Embraer"
"C-FIZU","Government of Newfoundland and Labrador","Substantial","Canada","Takeoff","Fire fighting","Canada","Canada","afternoon",2013,"July","Wednesday",3,2,0,2,0,0,0,0,"Canadair"
"HL7742","Asiana Airlines","Destroyed","United States of America","Landing","International Scheduled Passenger","South Korea","United States of America","morning",2013,"July","Saturday",7,2,0,16,3,291,0,0.0103092783505155,"Boeing"
"N93PC","Rediske Air","Destroyed","United States of America","Takeoff","Domestic Non Scheduled Passenger","United States of America","United States of America","morning",2013,"July","Sunday",55,1,1,1,9,9,1,1,"de Havilland Canada"
"N732MD","Air Choice One","Substantial","United States of America","Standing","Domestic Non Scheduled Passenger","United States of America","United States of America","morning",2013,"July","Wednesday",9,1,0,2,0,9,0,0,"Cessna"
"N115WF","Vineland Corporation","Destroyed","United States of America","Landing","Private","United States of America","United States of America","afternoon",2014,"January","Sunday",20,2,1,2,0,1,0.5,0,"Canadair"
"VT-ESH","Air India","Substantial","India","Landing","Domestic Scheduled Passenger","India","India","evening",2014,"January","Sunday",20,2,0,6,0,173,0,0,"Airbus"
"N720QS","NetJets","Substantial","United States of America","En route","Test","United States of America","United States of America","afternoon",2014,"January","Tuesday",11,2,0,2,0,0,0,0,"Gulfstream"
"8R-GHS","Trans Guyana Airways","Destroyed","Guyana","En route","Cargo","Guyana","Guyana","morning",2014,"January","Saturday",14,1,2,2,0,0,1,0,"Cessna"
"YR-BNP","Scoala Superioara de Aviatie Civila","Substantial","Romania","En route","Ambulance","Romania","Romania","afternoon",2014,"January","Monday",37,2,1,2,1,5,0.5,0.2,"Britten Norman"
"ZK-TLC","Pacific Air Express (PAE)","Substantial","Solomon Islands","Landing","Cargo","Australia","Solomon Islands","afternoon",2014,"January","Sunday",26,2,0,3,0,0,0,0,"Boeing"
"PK-LFH","Lion Air","Substantial","Indonesia","Landing","Domestic Scheduled Passenger","Indonesia","Indonesia","morning",2014,"February","Saturday",7,2,0,7,0,215,0,0,"Boeing"
"N61YP","Brink Constructors, Inc.","Substantial","United States of America","Approach","Executive","United States of America","United States of America","evening",2014,"February","Monday",16,2,0,1,0,6,0,0,"Cessna"
"B-3455","Joy Air","Substantial","China","Landing","Domestic Scheduled Passenger","China","China","evening",2014,"February","Tuesday",4,2,0,7,0,37,0,0,"Xian"
"ZS-EPZ","Federal Air","Substantial","South Africa","Taxi","Domestic Non Scheduled Passenger","South Africa","South Africa","afternoon",2014,"February","Monday",7,1,0,2,0,11,0,0,"Cessna"
"RA-02801","Sirius-Aero","Substantial","Russia","Landing","Ferry/positioning","Russia","Russia","evening",2014,"February","Wednesday",34,2,0,2,0,0,0,0,"British Aerospace"
"9N-ABB","Nepal Airlines","Destroyed","Nepal","En route","Domestic Scheduled Passenger","Nepal","Nepal","afternoon",2014,"February","Sunday",43,2,3,3,15,15,1,1,"de Havilland Canada"
"5Y-HAJ","International Organization for Migration - IOM","Destroyed","South Sudan","Landing","Cargo","South Sudan","South Sudan","afternoon",2014,"February","Monday",34,2,0,2,1,2,0,0.5,"British Aerospace"
"G-GDFC","Jet2","Substantial","Portugal","Landing","International Scheduled Passenger","United Kingdom","Portugal","afternoon",2014,"February","Monday",16,2,0,7,0,175,0,0,"Boeing"
"D2-FFZ","Guicango","Substantial","Angola","Landing","Domestic Non Scheduled Passenger","Angola","Angola","morning",2014,"February","Tuesday",24,2,0,3,0,14,0,0,"Embraer"
"EC-LTF","TAG Aviation EspaÃ±a","Minor","United Kingdom","Landing","Int'l Non Scheduled Passenger","Spain","United Kingdom","evening",2014,"March","Thursday",3,2,0,4,0,2,0,0,"Bombardier"
"9M-MRO","Malaysia Airlines","Destroyed","Indian Ocean","En route","International Scheduled Passenger","Malaysia","China","morning",2014,"March","Saturday",12,2,12,12,227,227,1,1,"Boeing"
"N113UW","US Airways","Substantial","United States of America","Takeoff","Domestic Scheduled Passenger","United States of America","United States of America","evening",2014,"March","Thursday",15,2,0,5,0,149,0,0,"Airbus"
"VT-HRA","State of Haryana Government","Substantial","India","Takeoff","Executive","India","India","morning",2014,"March","Thursday",9,2,0,4,0,5,0,0,"Beechcraft"
"PR-OAF","Avianca Brazil","Substantial","Brazil","Landing","Domestic Scheduled Passenger","Brazil","Brazil","afternoon",2014,"March","Friday",22,2,0,5,0,44,0,0,"Fokker"
"D-AISQ","Lufthansa","None","Germany","En route","International Scheduled Passenger","Germany","Hungary","morning",2014,"April","Tuesday",5,2,0,6,0,76,0,0,"Airbus"
"N126AR","Hageland Aviation Services","Destroyed","United States of America","En route","Training","United States of America","United States of America","afternoon",2014,"April","Tuesday",12,1,2,2,0,0,1,0,"Cessna"
"XA-UKR","LÃ­neas AÃ©reas Comerciales, SA - LACSA","Destroyed","Mexico","Approach","Domestic Non Scheduled Passenger","Mexico","Mexico","evening",2014,"April","Saturday",32,2,2,2,6,6,1,1,"British Aerospace"
"EI-STD","Air Contractors","Substantial","United Kingdom","Landing","Cargo","France","United Kingdom","evening",2014,"April","Tuesday",24,2,0,2,0,0,0,0,"Boeing"
"HK-4700","ALIANSA Colombia","Destroyed","Colombia","En route","Cargo","Colombia","Colombia","afternoon",2014,"May","Thursday",71,2,2,2,3,3,1,1,"Douglas"
"5N-SIK","IRS Airlines","Substantial","Niger","En route","Ferry/positioning","Slovakia","Nigeria","evening",2014,"May","Saturday",25,2,0,2,0,0,0,0,"Fokker"
"N299SK","AmericanConnection","Substantial","United States of America","Approach","Domestic Scheduled Passenger","United States of America","United States of America","afternoon",2014,"May","Wednesday",13,2,0,3,0,42,0,0,"Embraer"
"N3125N","Alaska Air Taxi","Minor","United States of America","En route","Private","United States of America","United States of America","morning",2014,"May","Friday",54,1,0,1,0,2,0,0,"de Havilland Canada"
"N121JM","Arizin Ventures, LLC","Destroyed","United States of America","Takeoff","Private","United States of America","United States of America","evening",2014,"May","Saturday",14,2,3,3,4,4,1,1,"Gulfstream"
"N793BG","Synfuels Holdings Finance LLC","Destroyed","United States of America","Takeoff","Training","United States of America","United States of America","afternoon",2014,"June","Wednesday",31,2,3,3,0,0,1,0,"IAI"
"D-CGFI","GFD Gesellschaft fÃ¼r Flugzieldarstellung","Destroyed","Germany","En route","Military","Germany","Germany","afternoon",2014,"June","Monday",29,2,2,2,0,0,1,0,"Learjet"
"LZ-MDB","Air Via","Substantial","Germany","Landing","International Scheduled Passenger","Bulgaria","Germany","afternoon",2014,"July","Friday",7,2,0,6,0,149,0,0,"Airbus"
"9M-MRD","Malaysia Airlines","Destroyed","Ukraine","En route","International Scheduled Passenger","Netherlands","Malaysia","afternoon",2014,"July","Thursday",17,2,15,15,283,283,1,1,"Boeing"
"RA-26082","KAPO Avia","Substantial","Russia","Takeoff","Ferry/positioning","Russia","Russia","morning",2015,"January","Saturday",34,2,0,4,0,6,0,0,"Antonov"
"5Y-SIB","Skyward International Aviation","Substantial","Kenya","Landing","Cargo","Kenya","Kenya","morning",2015,"January","Sunday",26,2,0,4,0,6,0,0,"Fokker"
"ET-AQV","ASKY Airlines","Substantial","Ghana","Landing","Cargo","Togo","Ghana","morning",2015,"January","Saturday",19,2,0,3,0,0,0,0,"Boeing"
"PK-YRU","Trigana Air Service","Substantial","Indonesia","Landing","Ferry/positioning","Indonesia","Indonesia","afternoon",2015,"January","Sunday",35,2,0,3,0,0,0,0,"de Havilland Canada"
"G-BTPC","Atlantic Airlines","Minor","United Kingdom","Standing","Cargo","United Kingdom","Ireland","night",2015,"January","Thursday",27,2,0,2,0,0,0,0,"British Aerospace"
"B-22816","TransAsia Airways","Destroyed","Taiwan","Initial climb","Domestic Scheduled Passenger","Taiwan","Taiwan","morning",2015,"February","Wednesday",1,2,4,5,39,53,0.8,0.735849056603774,"ATR"
"YV1674","Aeropanamericano","Destroyed","United States of America","Initial climb","Ferry/positioning","United States of America","Turks and Caicos Islands","afternoon",2015,"February","Wednesday",27,2,2,2,2,2,1,1,"Beechcraft"
"PK-DGB","Deraya Air Taxi","Substantial","Indonesia","Landing","Cargo","Indonesia","Indonesia","afternoon",2015,"March","Wednesday",25,2,0,2,0,0,0,0,"British Aerospace"
"N909DL","Delta Air Lines","Substantial","United States of America","Landing","Domestic Scheduled Passenger","United States of America","United States of America","morning",2015,"March","Thursday",28,2,0,5,0,125,0,0,"Douglas"
"E7-WDT","Icar Air","Substantial","Italy","Landing","Cargo","Bosnia and Herzegovina","Italy","evening",2015,"March","Thursday",24,2,0,3,0,0,0,0,"Let"
"VT-SUA","SpiceJet","Substantial","India","Landing","Domestic Scheduled Passenger","India","India","evening",2015,"March","Sunday",4,2,0,4,0,74,0,0,"de Havilland Canada"
"D-AIPX","Germanwings","Damaged beyond repair","France","En route","International Scheduled Passenger","Spain","Germany","morning",2015,"March","Tuesday",25,2,6,6,144,144,1,1,"Airbus"
"N106BZ","Markus Bastuck","Substantial","United States of America","En route","Test","United States of America","United States of America","afternoon",2015,"March","Tuesday",27,1,0,1,0,1,0,0,"Cessna"
"C-FTJP","Air Canada","Substantial","Canada","Landing","Domestic Scheduled Passenger","Canada","Canada","night",2015,"March","Sunday",24,2,0,5,0,133,0,0,"Airbus"
"N450KK","La Venezolana de Seguros y Vida","Substantial","Atlantic Ocean","En route","Ferry/positioning","Venezuela","United States of America","evening",2015,"April","Friday",22,2,0,2,0,0,0,0,"Gulfstream"
"C-GSKC","Carson Air","Destroyed","Canada","En route","Cargo","Canada","Canada","morning",2015,"April","Monday",38,2,2,2,0,0,1,0,"Swearingen"
"HL7762","Asiana Airlines","Substantial","Japan","Landing","International Scheduled Passenger","South Korea","Japan","evening",2015,"April","Tuesday",8,2,0,8,0,74,0,0,"Airbus"
"N2691W","Key Lime Air","Substantial","United States of America","En route","Cargo","United States of America","United States of America","evening",2015,"April","Thursday",29,2,0,1,0,0,0,0,"Swearingen"
"EC-403","Airbus Industrie","Destroyed","Spain","Approach","Test","Spain","Spain","afternoon",2015,"May","Saturday",0,4,4,6,0,0,0.666666666666667,0,"Airbus"
"B-3476","Joy Air","Damaged beyond repair","China","Landing","Domestic Scheduled Passenger","China","China","morning",2015,"May","Sunday",4,2,0,7,0,45,0,0,"Xian"
"N508JA","Memly Aviation","Substantial","United States of America","Taxi","Executive","United States of America","United States of America","afternoon",2015,"June","Thursday",9,2,0,2,0,2,0,0,"Eclipse"
"N640BA","Beta Aire","Substantial","United States of America","Takeoff","Executive","United States of America","United States of America","afternoon",2015,"June","Monday",24,2,0,2,0,2,0,0,"Learjet"
"N270PA","Promech Air","Destroyed","United States of America","En route","Domestic Non Scheduled Passenger","United States of America","United States of America","afternoon",2015,"June","Thursday",57,1,1,1,8,8,1,1,"de Havilland Canada"
"A-1310","Tentara Nasional Indonesia-AU (Air Force)","Destroyed","Indonesia","Initial climb","Military","Indonesia","Indonesia","morning",2015,"June","Tuesday",54,4,12,12,110,110,1,1,"Lockheed"
"8Q-MAN","Trans Maldivian Airways","Substantial","Maldives","Landing","Scheduled Passenger","Maldives","Maldives","afternoon",2015,"July","Thursday",41,2,0,3,0,11,0,0,"de Havilland Canada"
