"X.reg_id","X.operator","X.airplane_damage","X.location","X.phase","X.nature","X.departure_airport","X.destination_airport","X.time_period","X.year","X.month","X.day","X.old","X.nb_engines","X.crew.fatalities","X.crew.occupants","X.passengers.fatalities","X.passengers.occupants","X.crew.ratio","X.passengers.ratio","X.brand"
"N102PT","J. Symons","Damaged beyond repair","United States of America","En route","Private","United States of America","United States of America","afternoon",2008,"February","Friday",7,2,1,1,1,1,1,1,"Cessna"
"N3RP","Qualint","Substantial","United States of America","Taxi","Ferry/positioning","United States of America","United States of America","afternoon",2008,"February","Friday",31,2,0,2,0,0,0,0,"Sabreliner"
"TC-MBG","MNG Airlines","Substantial","United Kingdom","Taxi","Cargo","United Kingdom","United Kingdom","evening",2008,"February","Saturday",37,2,0,3,0,0,0,0,"Fokker"
"VP-AAG","Air Montserrat","Damaged beyond repair","Anguilla","Takeoff","Ferry/positioning","Anguilla","Netherlands Antilles","afternoon",2008,"February","Saturday",39,2,0,1,0,2,0,0,"Britten Norman"
"N120SC","McNeely Charter Service","Substantial","United States of America","Takeoff","Cargo","United States of America","United States of America","afternoon",2008,"February","Tuesday",30,2,0,1,0,0,0,0,"Swearingen"
"HI-653CA","Caribair, S.A.","Substantial","Dominican Republic","En route","Domestic Scheduled Passenger","Dominican Republic","Dominican Republic","evening",2008,"February","Thursday",41,2,0,2,0,7,0,0,"Britten Norman"
"VH-NXE","Qantas","Substantial","Australia","Landing","Domestic Scheduled Passenger","Australia","Australia","evening",2008,"February","Thursday",8,2,0,6,0,88,0,0,"Boeing"
"N16DK","DEKA Research & Development Corp.","Substantial","United States of America","Landing","Executive","United States of America","United States of America","evening",2008,"February","Tuesday",7,2,0,1,0,1,0,0,"Raytheon"
"YV1449","Santa BÃ¡rbara Airlines","Damaged beyond repair","Venezuela","En route","Domestic Scheduled Passenger","Venezuela","Venezuela","afternoon",2008,"February","Thursday",22,2,3,3,43,43,1,1,"ATR"
"N113SH","Interstate Helicopters","Destroyed","United States of America","En route","Executive","United States of America","United States of America","afternoon",2008,"March","Tuesday",33,2,2,2,3,3,1,1,"Cessna"
"PK-VTQ","Manunggal Air","Destroyed","Indonesia","Landing","Cargo","Indonesia","Indonesia","night",2008,"March","Thursday",23,2,0,7,0,0,0,0,"Transall"
"PK-KKT","AdamAir","Damaged beyond repair","Indonesia","Landing","Domestic Scheduled Passenger","Indonesia","Indonesia","morning",2008,"March","Monday",19,2,0,6,0,171,0,0,"Boeing"
"D-CTOB","Cirrus Airlines","Substantial","Germany","Landing","Domestic Scheduled Passenger","Germany","Germany","afternoon",2008,"March","Wednesday",9,2,0,3,0,24,0,0,"Dornier"
"VT-RAL","Ran Air","Damaged beyond repair","India","Landing","Executive","India","India","afternoon",2008,"March","Wednesday",7,2,0,2,0,5,0,0,"Raytheon"
"VP-BGE","private","Destroyed","United Kingdom","Approach","Private","United Kingdom","France","afternoon",2008,"March","Sunday",33,2,2,2,3,3,1,1,"Cessna"
"PZ-TSO","Blue Wing Airlines","Damaged beyond repair","Suriname","En route","Domestic Scheduled Passenger","Suriname","Suriname","morning",2008,"April","Thursday",18,2,2,2,17,17,1,1,"Antonov"
"5H-AWK","Auric Air","Damaged beyond repair","Tanzania","Initial climb","Training","Tanzania","Tanzania","afternoon",2008,"April","Thursday",19,2,2,2,0,0,1,0,"Cessna"
"VH-OZA","Airtex Aviation","Destroyed","Australia","En route","Cargo","Australia","Australia","evening",2008,"April","Wednesday",24,2,1,1,0,0,1,0,"Swearingen"
"ST-AZL","Kata Air Transport","Destroyed","Moldova","Approach","Ferry/positioning","Moldova","Turkey","evening",2008,"April","Friday",16,2,8,8,0,0,1,0,"Antonov"
"9Q-CHN","Hewa Bora Airways","Destroyed","Congo","Takeoff","Domestic Scheduled Passenger","Congo","Congo","afternoon",2008,"April","Tuesday",31,2,0,8,3,86,0,0.0348837209302326,"Douglas"
"YR-BEB","Carpatair","Damaged beyond repair","Romania","Landing","Domestic Scheduled Passenger","Romania","Romania","evening",2008,"April","Tuesday",15,4,0,6,0,67,0,0,"British Aerospace"
"5Y-SPK","AIM Air","Substantial","South Sudan","Takeoff","Int'l Non Scheduled Passenger","South Sudan","Kenya","afternoon",2008,"April","Monday",18,1,0,1,0,4,0,0,"Cessna"
"5Y-FLX","Southern Sudan Air Connection","Damaged beyond repair","South Sudan","En route","Domestic Non Scheduled Passenger","South Sudan","South Sudan","morning",2008,"May","Friday",19,2,2,2,19,19,1,1,"Beechcraft"
"N893FE","FedEx Express","Destroyed","United States of America","Approach","Cargo","United States of America","United States of America","evening",2008,"May","Friday",18,1,0,1,0,0,0,0,"Cessna"
"N195GA","Alpine Aviation","Destroyed","United States of America","Initial climb","Cargo","United States of America","United States of America","morning",2008,"May","Friday",22,2,1,1,0,0,1,0,"Beechcraft"
"N704CK","Kalitta Air","Damaged beyond repair","Belgium","Takeoff","Cargo","Belgium","Bahrain","afternoon",2008,"May","Sunday",28,4,0,4,0,1,0,0,"Boeing"
